,[soyisim]
775,KILIÇ
776,KAÇER
777,ÇOLAK
778,ERDOĞAN
779,ERTAŞ
780,ÇAVLI
781,PAKSOY
782,SÜRÜM
783,YUMAK
784,ŞATIR ERTEM
785,ÖZÇELİK
786,KARAPIÇAK
787,KÖYLÜ
788,BOZARSLAN
789,BARUT
790,KARALAR
791,BAYSOY
792,ÖĞÜTMEN KOÇ
793,KALA
794,BABAYİĞİT
795,AKAR
796,AYKAN
797,DOĞAN
798,SEYREKOĞLU
799,DEMİRGAN
800,AK
801,AĞCA
802,KÜÇÜKGÖNCÜ
803,ELVERDİ
804,BAKANAY ÖZTÜRK
805,YALÇİN
806,BOLAT
807,KANDEMİR
808,YAŞAN
809,MORAN
810,ŞAHİNER
811,ÜZEN
812,ÜNLÜ
813,ÖZDAMAR
814,TUNCEL
815,KAPAR
816,MENDEŞ
817,DAL
818,FIRAT
819,ORHAN
820,ŞİRİN
821,AKKOYUNLU
822,TANTEKİN
823,ÖZDOĞAN
824,ÜLGEN
825,SULUOVA
826,ÇELEN
827,AKPINAR
828,KEKLİKÇİOĞLU
829,İVACIK
830,ACAR
831,DÜZCE
832,GELEGEN
833,SOLUK
834,TAYYAR
835,TURMUŞ
836,BİLGİ
837,SİPAHİ
838,SERTOĞLU
839,ANIK
840,ŞERBETÇİ
841,KAYKA
842,URUÇ
843,ÇOLAKEROL
844,SARAL
845,ÖNEY KURNAZ
846,ATİLLA
847,KOCAKAYA ALTUNDAL
848,KÖROĞLU
849,KAPLAN
850,LEVENT
851,DENİZ
852,SUVARİ
853,HANCIOĞLU
854,AYHAN
855,AYIK
856,KISA KARAKAYA
857,ERDEN
858,YİLDİZ
859,SAÇLI
860,GÜLTEKİN
861,ÖKTEM
862,DUYSAK
863,YİĞİT KUPLAY
864,BÜYÜKDOĞAN
865,OLMAZ
866,OZAN
867,YÖNET
868,ÇETİNTAŞ
869,ACARBULUT
870,KARAKAN
871,KINIK
872,KÖSEOĞLU
873,YAZICI EROL
874,UZUN
875,YURDSEVEN
876,KARAKÖK GÜNGÖR
877,DEMİRTAŞ
878,FINDIK GÜVENDİ
879,PEYNİRCİ
880,ÖREN
881,AKGÜN
882,TOŞUR
883,KITAY
884,HOŞER
885,DURAN
886,SEZER
887,ÇELEBİ
888,TOPÇU
889,GÖKCE
890,ELÇİÇEK
891,GÜLCAN
892,NURÇİN
893,GÜVEN
894,PİRİM
895,KABİL KUCUR
896,KAYHAN
897,BOZOĞLAN
898,ISSI
899,İLHAN
900,ÇOBAN
901,TARAKCI
902,BÖYÜK
903,TUNCAY
904,BİLGE
905,KUSERLİ
906,OLGEN
907,AFŞAR
908,TAZEOĞLU
909,CİNBİZ
910,DEDEOĞLU
911,OSMANCA
912,KOPTUR
913,AÇAR
914,İNCEOĞLU
915,ÖĞÜT AYDIN
916,ÜÇER
917,KIYAK
918,GÖRENEKLİ
919,KARSLI
920,SÜMER
921,YAKIŞAN
922,YANNİ
923,SAYYİĞİT
924,KANKILIÇ
925,SELÇUK
926,YALÇIN
927,EVRENOS
928,YILDIZ ALTUN
929,GÜRPINAR
930,YURDAKÖK
931,ÖZDEN
932,BAYSAL
933,MERDEN
934,İZCİ
935,AKDOĞAN
936,ÇİFTÇİ
937,YILDIZ
938,KOLUŞ
939,GÖKÇEN
940,SELVAN
941,GÜLŞAN
942,BAZİKİ
943,ÇOBANOĞLU
944,ONAT
945,PINARBAŞILI
946,DAĞDELEN
947,YILDIZ BULUT
948,ATILGAN
949,NASUHBEYOĞLU
950,UYSAL
951,SARAYLI
952,ADIGÜZEL
953,ÖTER
954,ARIKAN
955,ELDEM
956,İLKER
957,GÜLŞEN
958,ÖZTAŞ
959,EYLEN
960,ŞENCAN
961,SEYHAN
962,CANTÜRK
963,ÇETE
964,YÜCE
965,ÖZATEŞ
966,KAPLANKIRAN
967,URAL
968,MERSİN
969,SÜRÜCÜ
970,ORHON
971,KIZILDAĞ
972,BABACAN
973,ULUBAŞOĞLU
974,KUTLUCAN BAĞCI
975,DESTEGÜL
976,AZRAK
977,GÜL ÖZMEN
978,KÖKSAL
979,AVCU
980,ÇOMUT
981,İSTEK
982,AKKAYA
983,ESER
984,PEKEL
985,YALÇINKAYA
986,İLGÜN
987,BULUR
988,ÜLGER
989,KOÇARSLAN
990,SARIEKİZ
991,UĞUZ
992,USTA GÜÇ
993,GÜRDAL
994,AŞAN
995,DÜZEL
996,YEL
997,BEDER
998,ÜNAL
999,DURSUN
1000,BALABAN
1001,ORDULU ŞAHİN
1002,ÇANGAL
1003,UYKUR
1004,KOCASARAÇ
1005,İPEK
1006,HALHALLI
1007,SALMAN SEVER
1008,İNAN
1009,KURALAY
1010,GENÇTÜRK
1011,YEŞİLDAĞER
1012,YAĞLI
1013,KUŞ
1014,KOLSUZ
1015,KAMACI
1016,SÖNMEZ
1017,KOCUBEYOĞLU
1018,KONUK
1019,DURMAZ
1020,YEŞİLFİDAN
1021,ELÇİ
1022,BEKTAŞ
1023,BAKAR
1024,ÖZDOĞAN KAVZOĞLU
1025,FİŞEKCİ
1026,KADI
1027,ÖZDEMİR AKDUR
1028,BALAL
1029,MUTLU
1030,KIYAK YILMAZ
1031,KILIÇCIOĞLU
1032,BAHÇECİ
1033,AKKOYUN
1034,KALYONCU UÇAR
1035,DAĞLI
1036,EKER
1037,KARÇİN
1038,ORAK
1039,ATLANOĞLU
1040,SAVAŞ
1041,ÇAMUR
1042,YILDIRIMÇAKAR
1043,ÇETEMEN
1044,İNER KÖKSAL
1045,AKSÖZ
1046,OĞUZ
1047,ULUÖZ
1048,BAYRAKÇI
1049,ÇETİNKAYA
1050,BAŞKAN
1051,SELVİOĞLU
1052,GEDİKLİ
1053,ERTÜRK
1054,ERBAŞ
1055,DİL
1056,AÇIKGÖZ
1057,DERHEM
1058,İMAMOĞLU
1059,KUBAT
1060,BÜKÜM
1061,KURUL
1062,ÖZDENOĞLU
1063,KARABULUT
1064,YAPAR
1065,POLAT ÇİÇEK
1066,KARAHAN
1067,ERTÜRKLER
1068,KUCUR TÜLÜBAŞ
1069,ERKEN
1070,SELİM
1071,ÖZSOY
1072,KIRBAŞ
1073,BULAKÇI
1074,TURAÇ
1075,ÖZBEK
1076,EROĞLU
1077,SARGIN
1078,GÖKTEPE
1079,ERGİNEL
1080,TEKİNSOY
1081,GÖZKAYA
1082,KOÇAR
1083,KESKİN
1084,GÜNDÜZ
1085,BAYGELDİ
1086,DİKOĞLU
1087,ATCI
1088,SEĞMEN
1089,KARAKOYUNLU
